date,precip,rainfall,snow_melt,Tair,baseflow,runoff
1/1/09,0,0,0,1.690566421,0.024629805,0
1/2/09,1.024999976,0.548959672,0,1.686641335,0.024622753,0.011337337
1/3/09,0.5,0.1875,0,-2.524475098,0.024615703,0.003760141
1/4/09,0,0,0,-13.49006462,0.024608653,0
1/5/09,0.324999988,0,0,-10.78172779,0.024601607,0
1/6/09,0.174999997,0.046132457,0,-3.533843517,0.02459456,0.001171928
1/7/09,0,0,0,1.844162822,0.024587518,0
1/8/09,0,0,0,-0.034502763,0.024580477,0
1/9/09,0,0,0,-3.12522316,0.024573436,0
1/10/09,0,0,0,-1.702965736,0.024566397,0
1/11/09,0,0,0,-0.435474932,0.024559362,0
1/12/09,0,0,0,0.91167593,0.024552327,0
1/13/09,0,0,0,-1.917046666,0.024545295,0
1/14/09,0,0,0,-1.518272996,0.024538264,0
1/15/09,0,0,0,-1.025369167,0.024531234,0
1/16/09,0,0,0,-2.516127825,0.024524206,0
1/17/09,0,0,0,-5.536804676,0.024517182,0
1/18/09,0,0,0,-6.671822548,0.024510158,0
1/19/09,0,0,0,-1.760333419,0.024503136,0
1/20/09,0,0,0,-1.950638413,0.024496116,0
1/21/09,0.174999997,0.072916664,0,-2.889359236,0.024489097,0.001402237
1/22/09,0.975000024,0.508199215,0,-2.253841877,0.024482081,0.010947633
1/23/09,0.600000024,0.402935892,0,4.4753232,0.024475066,0.007011889
1/24/09,2.275000095,2.275000095,0,5.772962093,0.024468053,0.064978436
1/25/09,3.549999952,1.875648141,0.396152228,0.389418542,0.024461042,0.063122578
1/26/09,0.224999994,0.035757143,0,-4.878741741,0.024454031,0.001055766
1/27/09,0,0,0,-10.25405025,0.024447024,0
1/28/09,0,0,0,-3.715780258,0.024440018,0
1/29/09,0,0,0,-4.009702206,0.024433015,0
1/30/09,0,0,0,-1.483044147,0.024426011,0
1/31/09,0,0,0,-0.348444849,0.024419012,0
2/1/09,0,0,0,-0.183836341,0.024412014,0
2/2/09,0,0,0,-0.002088114,0.024405016,0
2/3/09,0,0,0,2.290755272,0.024398021,0
2/4/09,0,0,0,2.33983326,0.024391027,0
2/5/09,0.050000001,0.032727625,0,4.044583321,0.024384037,0.000618134
2/6/09,1.350000024,0.990601003,0,2.150666714,0.024377046,0.020185174
2/7/09,1.799999952,1.036966681,0,0.518249989,0.024370059,0.028310305
2/8/09,0.975000024,0.482791305,0,0.403416663,0.024363073,0.010691546
2/9/09,4.275000095,0.906293213,0,-3.056583405,0.024356088,0.009168163
2/10/09,1.950000048,0.556769073,0,-5.029083252,0.024349106,0.003502828
2/11/09,0,0,0,-4.879499912,0.024342125,0
2/12/09,0,0,0,-5.5434165,0.024335146,0
2/13/09,0.200000003,0.002014716,0,-6.600500107,0.024328168,3.51E-05
2/14/09,0.100000001,0.000934605,0,-5.436916828,0.024321195,3.01E-05
2/15/09,0,0,0,-5.046333313,0.024314221,0
2/16/09,0.25,0.113595679,0,-2.100583315,0.024307249,0.002800265
2/17/09,0.25,0.073953703,0,-1.793333292,0.024300279,0.001614916
2/18/09,0,0,0,-4.368166447,0.024293311,0
2/19/09,0,0,0,-3.48358345,0.024286345,0
2/20/09,0,0,0,-1.274000049,0.02427938,0
2/21/09,0,0,0,0.33524999,0.024272418,0
2/22/09,0,0,0,4.637916565,0.024265457,0
2/23/09,0,0,0,7.344083309,0.024258498,0
2/24/09,0,0,0,7.925749779,0.024251541,0
2/25/09,0,0,0,6.850999832,0.024244586,0
2/26/09,0,0,0,4.365333557,0.024237633,0
2/27/09,0,0,0,0.642166674,0.024230679,0
2/28/09,0,0,0,0.531166673,0.02422373,0
3/1/09,0,0,0,4.896333218,0.024216782,0
3/2/09,0,0,0,6.889999866,0.024209835,0
3/3/09,0,0,0,7.336916447,0.024202891,0
3/4/09,0.524999976,0.377642155,0,3.710166693,0.024195947,0.007558564
3/5/09,0.224999994,0.122932866,0,1.12316668,0.024189005,0.002557662
3/6/09,0.150000006,0.047885742,0,-2.362666607,0.024182066,0.001198518
3/7/09,0.075000003,0.027450232,0,-3.588166714,0.024175128,0.000595341
3/8/09,0,0,0,-0.002916667,0.024168191,0
3/9/09,0.150000006,0.081249997,0,1.64199996,0.024161257,0.001529571
3/10/09,0.100000001,0.040158283,0,-1.705833316,0.024154326,0.000833667
3/11/09,0,0,0,-1.092166662,0.024147395,0
3/12/09,0,0,0,-0.721333325,0.024140466,0
3/13/09,0,0,0,0.319999993,0.024133539,0
3/14/09,0,0,0,2.569000006,0.024126614,0
3/15/09,0,0,0,7.038583279,0.02411969,0
3/16/09,0,0,0,9.928500175,0.024112768,0
3/17/09,0,0,0,9.201582909,0.024105849,0
3/18/09,0,0,0,8.032500267,0.024098931,0
3/19/09,0,0,0,8.503749847,0.024092013,0
3/20/09,0,0,0,9.546250343,0.024085099,0
3/21/09,1.575000048,1.185550332,0,8.069083214,0.024078187,0.021301376
3/22/09,4.775000095,3.638715267,0.209132895,5.839645386,0.024071276,0.084881
3/23/09,0.224999994,0.100124456,0,-0.605218649,0.024064366,0.002156177
3/24/09,0,0,0,0.064620994,0.024057459,0
